Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Stopped_Epoch,Best_Epoch,Best_Val_Loss,Best_Val_Accuracy,Test_Loss,Test_Accuracy,Stopped_Early,Early_Stopping_Patience
squirrel,RandomKFold,0,1,MLP,100,110,10,1.517224669456482,0.3438202142715454,1.51194429397583,0.29887640476226807,True,100
squirrel,RandomKFold,0,1,MLP,101,111,11,1.4858754873275757,0.36853933334350586,1.486217975616455,0.35056179761886597,True,100
squirrel,RandomKFold,0,1,GCN,100,105,5,1.5700603723526,0.31910112500190735,1.557376503944397,0.37528088688850403,True,100
squirrel,RandomKFold,0,1,GCN,101,106,6,1.5714861154556274,0.3280898928642273,1.557172417640686,0.36629214882850647,True,100
squirrel,RandomKFold,0,1,GAT,100,109,9,1.509291172027588,0.35505616664886475,1.470083475112915,0.37303370237350464,True,100
squirrel,RandomKFold,0,1,GAT,101,112,12,1.5135669708251953,0.3303370773792267,1.471430778503418,0.37303370237350464,True,100
squirrel,RandomKFold,0,1,SAGE,101,106,6,1.428924798965454,0.3932584226131439,1.4125138521194458,0.38651683926582336,True,100
squirrel,RandomKFold,0,1,SAGE,100,107,7,1.4363024234771729,0.39101123809814453,1.436616063117981,0.384269654750824,True,100
squirrel,RandomKFold,0,1,GPRGNN,100,114,14,1.5387752056121826,0.3595505654811859,1.5365005731582642,0.3820224702358246,True,100
squirrel,RandomKFold,0,1,GPRGNN,101,116,16,1.5492023229599,0.35056179761886597,1.5298364162445068,0.36853933334350586,True,100
squirrel,RandomKFold,0,1,H2GCN,100,124,24,1.5138322114944458,0.29887640476226807,1.4594991207122803,0.3056179881095886,True,100
squirrel,RandomKFold,0,2,MLP,100,112,12,1.4704023599624634,0.3977528214454651,1.5123732089996338,0.3460674285888672,True,100
squirrel,RandomKFold,0,1,H2GCN,101,125,25,1.5109918117523193,0.30337077379226685,1.4554117918014526,0.31910112500190735,True,100
squirrel,RandomKFold,0,2,MLP,101,111,11,1.4527391195297241,0.3977528214454651,1.4921315908432007,0.3438202142715454,True,100
squirrel,RandomKFold,0,2,GCN,101,313,213,1.5408374071121216,0.4134831428527832,1.626908540725708,0.3775281012058258,True,100
squirrel,RandomKFold,0,2,GCN,100,345,245,1.546711802482605,0.42471909523010254,1.6347663402557373,0.3820224702358246,True,100
squirrel,RandomKFold,0,2,GAT,100,110,10,1.5231785774230957,0.3303370773792267,1.5124396085739136,0.3303370773792267,True,100
squirrel,RandomKFold,0,2,GAT,101,110,10,1.5145922899246216,0.3438202142715454,1.5144096612930298,0.35056179761886597,True,100
squirrel,RandomKFold,0,2,SAGE,100,108,8,1.4096299409866333,0.3977528214454651,1.4668922424316406,0.3595505654811859,True,100
squirrel,RandomKFold,0,2,SAGE,101,108,8,1.4112117290496826,0.3932584226131439,1.449870228767395,0.37303370237350464,True,100
squirrel,RandomKFold,0,1,MixHop,100,109,9,1.5066511631011963,0.35505616664886475,1.485050082206726,0.3797752857208252,True,100
squirrel,RandomKFold,0,1,MixHop,101,110,10,1.502410650253296,0.3438202142715454,1.4680217504501343,0.3932584226131439,True,100
squirrel,RandomKFold,0,2,GPRGNN,100,337,237,1.504166603088379,0.3955056071281433,1.5710961818695068,0.3460674285888672,True,100
squirrel,RandomKFold,0,2,H2GCN,100,127,27,1.4641201496124268,0.307865172624588,1.5085070133209229,0.26966291666030884,True,100
squirrel,RandomKFold,0,2,GPRGNN,101,516,416,1.4810279607772827,0.4112359583377838,1.5600961446762085,0.35280898213386536,True,100
squirrel,RandomKFold,0,3,MLP,100,111,11,1.5018281936645508,0.3355855941772461,1.477763295173645,0.37078651785850525,True,100
squirrel,RandomKFold,0,3,MLP,101,111,11,1.4837762117385864,0.3445945978164673,1.4514994621276855,0.38876405358314514,True,100
squirrel,RandomKFold,0,3,GCN,100,104,4,1.5798059701919556,0.3265765905380249,1.5860949754714966,0.3573033809661865,True,100
