Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Stopped_Epoch,Best_Epoch,Best_Val_Loss,Best_Val_Accuracy,Test_Loss,Test_Accuracy,Stopped_Early,Early_Stopping_Patience
roman_empire,RandomKFold,0,1,MLP,100,192,92,1.0767076015472412,0.6417383551597595,0.9973834753036499,0.6637988090515137,True,100
roman_empire,RandomKFold,0,1,MLP,101,196,96,1.0703506469726562,0.6412971615791321,0.9981157183647156,0.6697551012039185,True,100
roman_empire,RandomKFold,0,1,GCN,100,1000,993,1.6062769889831543,0.4754025936126709,1.588731288909912,0.4855504035949707,False,100
roman_empire,RandomKFold,0,1,GCN,101,1000,961,1.6096962690353394,0.4751819968223572,1.590929627418518,0.477829247713089,False,100
roman_empire,RandomKFold,0,1,GAT,100,720,620,1.8382285833358765,0.4127509295940399,1.806112289428711,0.4224575459957123,True,100
roman_empire,RandomKFold,0,1,GAT,101,1000,972,1.8321737051010132,0.41186851263046265,1.8015573024749756,0.41826605796813965,False,100
roman_empire,RandomKFold,0,1,SAGE,100,756,656,0.782035231590271,0.7469666600227356,0.7500936985015869,0.7606441378593445,True,100
roman_empire,RandomKFold,0,1,SAGE,101,1000,914,0.7731744050979614,0.7487315535545349,0.7447142601013184,0.7626296281814575,False,100
roman_empire,RandomKFold,0,1,GPRGNN,100,918,818,1.2799510955810547,0.6344584226608276,1.229926586151123,0.6551952362060547,True,100
roman_empire,RandomKFold,0,1,GPRGNN,101,1000,945,1.2826086282730103,0.6289433240890503,1.2305221557617188,0.6505625247955322,False,100
roman_empire,RandomKFold,0,1,H2GCN,100,648,548,1.575976014137268,0.5303331017494202,1.500425100326538,0.5537171959877014,True,100
roman_empire,RandomKFold,0,1,H2GCN,101,249,149,1.6241916418075562,0.5177586674690247,1.5645596981048584,0.546878457069397,True,100
roman_empire,RandomKFold,0,2,MLP,100,192,92,0.9972282648086548,0.6690202951431274,1.0744320154190063,0.6459298729896545,True,100
roman_empire,RandomKFold,0,2,MLP,101,195,95,0.9989629983901978,0.6659311652183533,1.0702625513076782,0.6494595408439636,True,100
roman_empire,RandomKFold,0,2,GCN,100,1000,994,1.611070156097412,0.4757281541824341,1.611083984375,0.4727553427219391,False,100
roman_empire,RandomKFold,0,2,GCN,101,1000,980,1.613280177116394,0.474624902009964,1.6174522638320923,0.4707699120044708,False,100
roman_empire,RandomKFold,0,1,MixHop,100,1000,932,0.5933384299278259,0.8065298795700073,0.5835229158401489,0.8087359070777893,False,100
roman_empire,RandomKFold,0,1,MixHop,101,931,831,0.5890839099884033,0.8069710731506348,0.5845517516136169,0.809618353843689,True,100
roman_empire,RandomKFold,0,2,GAT,101,750,650,1.8294497728347778,0.41813769936561584,1.8405848741531372,0.41076549887657166,True,100
roman_empire,RandomKFold,0,2,GAT,100,841,741,1.8250856399536133,0.420785516500473,1.8364704847335815,0.4178248345851898,True,100
roman_empire,RandomKFold,0,2,SAGE,100,714,614,0.7633184790611267,0.7577228546142578,0.7837412357330322,0.7456430792808533,True,100
roman_empire,RandomKFold,0,2,SAGE,101,1000,998,0.7568519115447998,0.7627978920936584,0.7769328355789185,0.7469666600227356,False,100
roman_empire,RandomKFold,0,2,GPRGNN,100,947,847,1.2349488735198975,0.6509267687797546,1.2812317609786987,0.6293845176696777,True,100
roman_empire,RandomKFold,0,2,GPRGNN,101,708,608,1.2550969123840332,0.6496028304100037,1.3026788234710693,0.6293845176696777,True,100
roman_empire,RandomKFold,0,2,H2GCN,100,307,207,1.561067819595337,0.5315533876419067,1.581334114074707,0.5181998610496521,True,100
roman_empire,RandomKFold,0,2,H2GCN,101,231,131,1.565402865409851,0.5269196629524231,1.6021455526351929,0.5155526399612427,True,100
roman_empire,RandomKFold,0,3,MLP,100,184,84,1.0439401865005493,0.6522506475448608,1.0060604810714722,0.6703442335128784,True,100
roman_empire,RandomKFold,0,3,MLP,101,196,96,1.0343492031097412,0.6564430594444275,1.003767967224121,0.6692409515380859,True,100
