Dataset,StratificationType,Fold_Seed,Fold,Property,EMD,KS_Stat
Cora,LabelStratifiedKFold,0,1,Degree,0.5649231838578765,0.0386550956922311
Cora,LabelStratifiedKFold,0,1,Neighborhood Heterogeneity,0.0125112549102961,0.025203326825512
Cora,LabelStratifiedKFold,0,1,PageRank,3.811850738517413e-05,0.0492975982391402
Cora,LabelStratifiedKFold,0,1,Eigenvector Centrality,0.0008265316882279,0.0408663920434218
Cora,LabelStratifiedKFold,0,1,Clustering Coefficient,0.0104722042266484,0.0373313843941763
Cora,LabelStratifiedKFold,0,2,Degree,0.5093716034113246,0.0514322317738412
Cora,LabelStratifiedKFold,0,2,Neighborhood Heterogeneity,0.0182963612844807,0.0335340195507218
Cora,LabelStratifiedKFold,0,2,PageRank,3.53252583785661e-05,0.0550813818387491
Cora,LabelStratifiedKFold,0,2,Eigenvector Centrality,0.0006587426246347,0.0247263137451319
Cora,LabelStratifiedKFold,0,2,Clustering Coefficient,0.0157295428685389,0.0544680793068318
Cora,LabelStratifiedKFold,0,3,Degree,0.6166859175516959,0.031051847914601
Cora,LabelStratifiedKFold,0,3,Neighborhood Heterogeneity,0.0112495207103131,0.0247177956544108
Cora,LabelStratifiedKFold,0,3,PageRank,4.262132458288825e-05,0.0430572449768819
Cora,LabelStratifiedKFold,0,3,Eigenvector Centrality,0.0013147588491835,0.0299581250660152
Cora,LabelStratifiedKFold,0,3,Clustering Coefficient,0.0112874932315513,0.0406210710306549
Cora,LabelStratifiedKFold,0,4,Degree,0.4789059894382812,0.0268794136889504
Cora,LabelStratifiedKFold,0,4,Neighborhood Heterogeneity,0.0148691285367674,0.0234734255301544
Cora,LabelStratifiedKFold,0,4,PageRank,3.140163488784107e-05,0.0266175458290079
Cora,LabelStratifiedKFold,0,4,Eigenvector Centrality,0.0008780961574044,0.0205323167969892
Cora,LabelStratifiedKFold,0,4,Clustering Coefficient,0.0091966753703534,0.0224472788346794
Cora,LabelStratifiedKFold,0,5,Degree,0.3678706048635808,0.0472266317054592
Cora,LabelStratifiedKFold,0,5,Neighborhood Heterogeneity,0.0278706892028618,0.0502939829248507
Cora,LabelStratifiedKFold,0,5,PageRank,2.58739566705156e-05,0.0671294420508603
Cora,LabelStratifiedKFold,0,5,Eigenvector Centrality,0.0007597909915523,0.0382420904390935
Cora,LabelStratifiedKFold,0,5,Clustering Coefficient,0.0133213998807301,0.0260460426819022
Cora,LabelStratifiedKFold,1,1,Degree,0.4704064492168437,0.033535723168866
Cora,LabelStratifiedKFold,1,1,Neighborhood Heterogeneity,0.0286228283520586,0.0440112711376421
Cora,LabelStratifiedKFold,1,1,PageRank,3.703360870867503e-05,0.0418749339847969
Cora,LabelStratifiedKFold,1,1,Eigenvector Centrality,0.0019365127675119,0.0381184559768035
Cora,LabelStratifiedKFold,1,1,Clustering Coefficient,0.0112600306184827,0.0420095198181898
Cora,LabelStratifiedKFold,1,2,Degree,0.2594474144187413,0.0266667348113924
Cora,LabelStratifiedKFold,1,2,Neighborhood Heterogeneity,0.0307379091548633,0.0606641384973406
Cora,LabelStratifiedKFold,1,2,PageRank,2.0507041292676823e-05,0.0366925275900958
Cora,LabelStratifiedKFold,1,2,Eigenvector Centrality,0.0006771162619443,0.0391832173169377
Cora,LabelStratifiedKFold,1,2,Clustering Coefficient,0.0057296220974686,0.0203377934056348
Cora,LabelStratifiedKFold,1,3,Degree,0.2000047701308036,0.0195183530782676
Cora,LabelStratifiedKFold,1,3,Neighborhood Heterogeneity,0.0149066514415528,0.0348662489394977
Cora,LabelStratifiedKFold,1,3,PageRank,1.89637350600472e-05,0.0458290316975191
Cora,LabelStratifiedKFold,1,3,Eigenvector Centrality,0.000479685869664,0.0467864650945678
Cora,LabelStratifiedKFold,1,3,Clustering Coefficient,0.015055921595414,0.0315271573768369
Cora,LabelStratifiedKFold,1,4,Degree,0.3750186591512594,0.0481401837510566
Cora,LabelStratifiedKFold,1,4,Neighborhood Heterogeneity,0.0074997811283656,0.013853406883798
Cora,LabelStratifiedKFold,1,4,PageRank,2.777799372317144e-05,0.0543004758829936
Cora,LabelStratifiedKFold,1,4,Eigenvector Centrality,0.0005573663337472,0.0624294684082443
Cora,LabelStratifiedKFold,1,4,Clustering Coefficient,0.036500418660568,0.0534312793055298
Cora,LabelStratifiedKFold,1,5,Degree,0.3171910705618758,0.0327061868201138
Cora,LabelStratifiedKFold,1,5,Neighborhood Heterogeneity,0.0120929221959442,0.0269442409116072
Cora,LabelStratifiedKFold,1,5,PageRank,2.4291964605596565e-05,0.0411567564893329
Cora,LabelStratifiedKFold,1,5,Eigenvector Centrality,0.0009793710638649,0.0354835215170934
Cora,LabelStratifiedKFold,1,5,Clustering Coefficient,0.013448872818143,0.0303101385511286
Cora,LabelStratifiedKFold,2,1,Degree,0.2167104496529718,0.0104687334961992
Cora,LabelStratifiedKFold,2,1,Neighborhood Heterogeneity,0.0240652263582372,0.0505156852122537
Cora,LabelStratifiedKFold,2,1,PageRank,2.279998202935579e-05,0.0402905691106772
Cora,LabelStratifiedKFold,2,1,Eigenvector Centrality,0.0005544535236793,0.0202475016439915
Cora,LabelStratifiedKFold,2,1,Clustering Coefficient,0.0085977801179917,0.0202151328992514
Cora,LabelStratifiedKFold,2,2,Degree,0.2102537368863987,0.0157550605976973
Cora,LabelStratifiedKFold,2,2,Neighborhood Heterogeneity,0.0416518008979709,0.0695178419928243
Cora,LabelStratifiedKFold,2,2,PageRank,1.840458992229827e-05,0.0351729002054563
Cora,LabelStratifiedKFold,2,2,Eigenvector Centrality,0.0007283746072578,0.056302876048151
Cora,LabelStratifiedKFold,2,2,Clustering Coefficient,0.0105996925268159,0.0255099780914706
Cora,LabelStratifiedKFold,2,3,Degree,0.2930598004040975,0.0266156262670659
Cora,LabelStratifiedKFold,2,3,Neighborhood Heterogeneity,0.014208706924226,0.0271130827651766
Cora,LabelStratifiedKFold,2,3,PageRank,2.2982686144275377e-05,0.0320672043285529
Cora,LabelStratifiedKFold,2,3,Eigenvector Centrality,0.0005424315525907,0.0420947007254006
Cora,LabelStratifiedKFold,2,3,Clustering Coefficient,0.0178575144100653,0.0361695168198219
Cora,LabelStratifiedKFold,2,4,Degree,0.3689641377510271,0.0361189988970842
Cora,LabelStratifiedKFold,2,4,Neighborhood Heterogeneity,0.0074347985999655,0.017353223917492
Cora,LabelStratifiedKFold,2,4,PageRank,2.743608611022944e-05,0.0496892131766448
Cora,LabelStratifiedKFold,2,4,Eigenvector Centrality,0.000872103234221,0.0387675321385221
Cora,LabelStratifiedKFold,2,4,Clustering Coefficient,0.0083015589210332,0.0288148474811638
Cora,LabelStratifiedKFold,2,5,Degree,0.7108987356132642,0.0562768531842534
Cora,LabelStratifiedKFold,2,5,Neighborhood Heterogeneity,0.0072230784242583,0.0153623457901116
Cora,LabelStratifiedKFold,2,5,PageRank,4.95339101341729e-05,0.0605170653398695
Cora,LabelStratifiedKFold,2,5,Eigenvector Centrality,0.001889237990872,0.0361949149867743
Cora,LabelStratifiedKFold,2,5,Clustering Coefficient,0.0110284273516135,0.0321653913047928
Cora,LabelStratifiedKFold,3,1,Degree,0.2993972599005765,0.033535723168866
Cora,LabelStratifiedKFold,3,1,Neighborhood Heterogeneity,0.0140440301419097,0.050128963893517
Cora,LabelStratifiedKFold,3,1,PageRank,1.985320553833209e-05,0.0440947484267086
Cora,LabelStratifiedKFold,3,1,Eigenvector Centrality,0.0005706818956977,0.0236819958227283
Cora,LabelStratifiedKFold,3,1,Clustering Coefficient,0.0281563767646522,0.0463162664867645
Cora,LabelStratifiedKFold,3,2,Degree,0.2976595693934769,0.0340416977576977
Cora,LabelStratifiedKFold,3,2,Neighborhood Heterogeneity,0.0249147015825873,0.041288889343187
Cora,LabelStratifiedKFold,3,2,PageRank,2.1740232005856033e-05,0.0483265358969379
Cora,LabelStratifiedKFold,3,2,Eigenvector Centrality,0.0009467731249875,0.0407709894273458
Cora,LabelStratifiedKFold,3,2,Clustering Coefficient,0.0052758541849793,0.0169135209357633
Cora,LabelStratifiedKFold,3,3,Degree,0.3082254091238948,0.0122183493303077
Cora,LabelStratifiedKFold,3,3,Neighborhood Heterogeneity,0.0116952678342374,0.0225320535753834
Cora,LabelStratifiedKFold,3,3,PageRank,2.866363435535429e-05,0.0360417454590058
Cora,LabelStratifiedKFold,3,3,Eigenvector Centrality,0.0013298609133332,0.0448818200093358
Cora,LabelStratifiedKFold,3,3,Clustering Coefficient,0.0480921604966468,0.0736320798111028
Cora,LabelStratifiedKFold,3,4,Degree,0.299165690704206,0.0333672538932585
Cora,LabelStratifiedKFold,3,4,Neighborhood Heterogeneity,0.0104524008702941,0.0289393839878466
Cora,LabelStratifiedKFold,3,4,PageRank,1.898558321750855e-05,0.0310036192356017
Cora,LabelStratifiedKFold,3,4,Eigenvector Centrality,0.000545951012112,0.0349393140426853
Cora,LabelStratifiedKFold,3,4,Clustering Coefficient,0.015046721698744,0.0380407848529488
Cora,LabelStratifiedKFold,3,5,Degree,0.2818755880298266,0.0264375649871582
Cora,LabelStratifiedKFold,3,5,Neighborhood Heterogeneity,0.0140359704968184,0.0223585678984123
Cora,LabelStratifiedKFold,3,5,PageRank,1.928704032878317e-05,0.0366615003919488
Cora,LabelStratifiedKFold,3,5,Eigenvector Centrality,0.0007614620380564,0.025901887410468
Cora,LabelStratifiedKFold,3,5,Clustering Coefficient,0.0108324581408309,0.0321449195502696
Cora,LabelStratifiedKFold,4,1,Degree,0.3096871134916333,0.0240806424684745
Cora,LabelStratifiedKFold,4,1,Neighborhood Heterogeneity,0.0097692888512693,0.032487998010174
Cora,LabelStratifiedKFold,4,1,PageRank,2.091782508853947e-05,0.0309479272078039
Cora,LabelStratifiedKFold,4,1,Eigenvector Centrality,0.0012649941298904,0.02826643224881
Cora,LabelStratifiedKFold,4,1,Clustering Coefficient,0.0081721432390683,0.0166477565052658
Cora,LabelStratifiedKFold,4,2,Degree,0.500867141635404,0.0817481166501415
Cora,LabelStratifiedKFold,4,2,Neighborhood Heterogeneity,0.0124780225758577,0.0255576793995086
Cora,LabelStratifiedKFold,4,2,PageRank,3.308424095968802e-05,0.0959443666458825
Cora,LabelStratifiedKFold,4,2,Eigenvector Centrality,0.0015491760575875,0.0437284705257024
Cora,LabelStratifiedKFold,4,2,Clustering Coefficient,0.0181998278532326,0.0627050730341098
Cora,LabelStratifiedKFold,4,3,Degree,0.5165063561992957,0.0766798526711028
Cora,LabelStratifiedKFold,4,3,Neighborhood Heterogeneity,0.0308278989198327,0.0505770154654455
Cora,LabelStratifiedKFold,4,3,PageRank,3.4174253968843726e-05,0.0919527893339875
Cora,LabelStratifiedKFold,4,3,Eigenvector Centrality,0.000693320321105,0.0249034900321302
Cora,LabelStratifiedKFold,4,3,Clustering Coefficient,0.0249185444866254,0.0636676172855911
