Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Epoch,Test_Accuracy
Cora,ClassBasedStratification,0,1,MLP,100,1000,0.7287822878228782
Cora,ClassBasedStratification,0,1,MLP,101,1000,0.7232472324723247
Cora,ClassBasedStratification,0,1,MLP,102,1000,0.7250922509225092
Cora,ClassBasedStratification,0,1,MLP,103,1000,0.7177121771217713
Cora,ClassBasedStratification,0,1,MLP,104,1000,0.7416974169741697
Cora,ClassBasedStratification,0,1,MLP,105,1000,0.7195571955719557
Cora,ClassBasedStratification,0,1,MLP,106,1000,0.7287822878228782
Cora,ClassBasedStratification,0,1,MLP,107,1000,0.7232472324723247
Cora,ClassBasedStratification,0,1,MLP,108,1000,0.7250922509225092
Cora,ClassBasedStratification,0,1,MLP,109,1000,0.7416974169741697
Cora,ClassBasedStratification,0,1,GCN,100,1000,0.8782287822878229
Cora,ClassBasedStratification,0,1,GCN,101,1000,0.8745387453874539
Cora,ClassBasedStratification,0,1,GCN,102,1000,0.8745387453874539
Cora,ClassBasedStratification,0,1,GCN,103,1000,0.8708487084870848
Cora,ClassBasedStratification,0,1,GCN,104,1000,0.8837638376383764
Cora,ClassBasedStratification,0,1,GCN,105,1000,0.8763837638376384
Cora,ClassBasedStratification,0,1,GCN,106,1000,0.8782287822878229
Cora,ClassBasedStratification,0,1,GCN,107,1000,0.8708487084870848
Cora,ClassBasedStratification,0,1,GCN,108,1000,0.8745387453874539
Cora,ClassBasedStratification,0,1,GCN,109,1000,0.8819188191881919
Cora,ClassBasedStratification,0,1,GAT,100,1000,0.8800738007380073
Cora,ClassBasedStratification,0,1,GAT,101,1000,0.8892988929889298
Cora,ClassBasedStratification,0,1,GAT,102,1000,0.8948339483394834
Cora,ClassBasedStratification,0,1,GAT,103,1000,0.8874538745387454
Cora,ClassBasedStratification,0,1,GAT,104,1000,0.8874538745387454
Cora,ClassBasedStratification,0,1,GAT,105,1000,0.8892988929889298
Cora,ClassBasedStratification,0,1,GAT,106,1000,0.8892988929889298
Cora,ClassBasedStratification,0,1,GAT,107,1000,0.8837638376383764
Cora,ClassBasedStratification,0,1,GAT,108,1000,0.8911439114391144
Cora,ClassBasedStratification,0,1,GAT,109,1000,0.8948339483394834
Cora,ClassBasedStratification,0,1,SAGE,100,1000,0.8856088560885609
Cora,ClassBasedStratification,0,1,SAGE,101,1000,0.8745387453874539
Cora,ClassBasedStratification,0,1,SAGE,102,1000,0.8782287822878229
Cora,ClassBasedStratification,0,1,SAGE,103,1000,0.8856088560885609
Cora,ClassBasedStratification,0,1,SAGE,104,1000,0.8819188191881919
Cora,ClassBasedStratification,0,1,SAGE,105,1000,0.8874538745387454
Cora,ClassBasedStratification,0,1,SAGE,106,1000,0.8800738007380073
Cora,ClassBasedStratification,0,1,SAGE,107,1000,0.8782287822878229
Cora,ClassBasedStratification,0,1,SAGE,108,1000,0.8745387453874539
Cora,ClassBasedStratification,0,1,SAGE,109,1000,0.8726937269372693
Cora,ClassBasedStratification,0,1,MixHop,100,1000,0.8856088560885609
Cora,ClassBasedStratification,0,1,MixHop,101,1000,0.8745387453874539
Cora,ClassBasedStratification,0,1,MixHop,102,1000,0.8856088560885609
Cora,ClassBasedStratification,0,1,MixHop,103,1000,0.8690036900369004
Cora,ClassBasedStratification,0,1,MixHop,104,1000,0.8874538745387454
Cora,ClassBasedStratification,0,1,MixHop,105,1000,0.8745387453874539
Cora,ClassBasedStratification,0,1,MixHop,106,1000,0.8763837638376384
Cora,ClassBasedStratification,0,1,MixHop,107,1000,0.8782287822878229
Cora,ClassBasedStratification,0,1,MixHop,108,1000,0.8745387453874539
Cora,ClassBasedStratification,0,1,MixHop,109,1000,0.8837638376383764
Cora,ClassBasedStratification,0,2,MLP,100,1000,0.7619926199261993
Cora,ClassBasedStratification,0,2,MLP,101,1000,0.7601476014760148
Cora,ClassBasedStratification,0,2,MLP,102,1000,0.7527675276752768
Cora,ClassBasedStratification,0,2,MLP,103,1000,0.7509225092250923
Cora,ClassBasedStratification,0,2,MLP,104,1000,0.7601476014760148
Cora,ClassBasedStratification,0,2,MLP,105,1000,0.7416974169741697
Cora,ClassBasedStratification,0,2,MLP,106,1000,0.7583025830258303
Cora,ClassBasedStratification,0,2,MLP,107,1000,0.7509225092250923
Cora,ClassBasedStratification,0,2,MLP,108,1000,0.7490774907749077
Cora,ClassBasedStratification,0,2,MLP,109,1000,0.7583025830258303
Cora,ClassBasedStratification,0,2,GCN,100,1000,0.8985239852398524
Cora,ClassBasedStratification,0,2,GCN,101,1000,0.9059040590405903
Cora,ClassBasedStratification,0,2,GCN,102,1000,0.9003690036900369
Cora,ClassBasedStratification,0,2,GCN,103,1000,0.9077490774907748
Cora,ClassBasedStratification,0,2,GCN,104,1000,0.8966789667896679
Cora,ClassBasedStratification,0,2,GCN,105,1000,0.9003690036900369
Cora,ClassBasedStratification,0,2,GCN,106,1000,0.8892988929889298
Cora,ClassBasedStratification,0,2,GCN,107,1000,0.8966789667896679
Cora,ClassBasedStratification,0,2,GCN,108,1000,0.9003690036900369
Cora,ClassBasedStratification,0,2,GCN,109,1000,0.904059040590406
Cora,ClassBasedStratification,0,2,GAT,100,1000,0.911439114391144
Cora,ClassBasedStratification,0,2,GAT,101,1000,0.9077490774907748
Cora,ClassBasedStratification,0,2,GAT,102,1000,0.9059040590405903
Cora,ClassBasedStratification,0,2,GAT,103,1000,0.8966789667896679
Cora,ClassBasedStratification,0,2,GAT,104,1000,0.9022140221402214
Cora,ClassBasedStratification,0,2,GAT,105,1000,0.904059040590406
Cora,ClassBasedStratification,0,2,GAT,106,1000,0.9059040590405903
Cora,ClassBasedStratification,0,2,GAT,107,1000,0.9095940959409594
Cora,ClassBasedStratification,0,2,GAT,108,1000,0.904059040590406
Cora,ClassBasedStratification,0,2,GAT,109,1000,0.911439114391144
Cora,ClassBasedStratification,0,2,SAGE,100,1000,0.8929889298892989
Cora,ClassBasedStratification,0,2,SAGE,101,1000,0.8985239852398524
Cora,ClassBasedStratification,0,2,SAGE,102,1000,0.8892988929889298
Cora,ClassBasedStratification,0,2,SAGE,103,1000,0.9003690036900369
Cora,ClassBasedStratification,0,2,SAGE,104,1000,0.8911439114391144
Cora,ClassBasedStratification,0,2,SAGE,105,1000,0.8985239852398524
Cora,ClassBasedStratification,0,2,SAGE,106,1000,0.8892988929889298
Cora,ClassBasedStratification,0,2,SAGE,107,1000,0.8892988929889298
Cora,ClassBasedStratification,0,2,SAGE,108,1000,0.8966789667896679
Cora,ClassBasedStratification,0,2,SAGE,109,1000,0.8837638376383764
Cora,ClassBasedStratification,0,2,MixHop,100,1000,0.8892988929889298
Cora,ClassBasedStratification,0,2,MixHop,101,1000,0.8966789667896679
Cora,ClassBasedStratification,0,2,MixHop,102,1000,0.8911439114391144
Cora,ClassBasedStratification,0,2,MixHop,103,1000,0.8985239852398524
Cora,ClassBasedStratification,0,2,MixHop,104,1000,0.9022140221402214
Cora,ClassBasedStratification,0,2,MixHop,105,1000,0.8985239852398524
Cora,ClassBasedStratification,0,2,MixHop,106,1000,0.8948339483394834
Cora,ClassBasedStratification,0,2,MixHop,107,1000,0.8929889298892989
Cora,ClassBasedStratification,0,2,MixHop,108,1000,0.8856088560885609
Cora,ClassBasedStratification,0,2,MixHop,109,1000,0.8948339483394834
Cora,ClassBasedStratification,0,3,MLP,100,1000,0.7564575645756457
Cora,ClassBasedStratification,0,3,MLP,101,1000,0.7564575645756457
Cora,ClassBasedStratification,0,3,MLP,102,1000,0.7619926199261993
Cora,ClassBasedStratification,0,3,MLP,103,1000,0.7822878228782287
Cora,ClassBasedStratification,0,3,MLP,104,1000,0.7712177121771218
Cora,ClassBasedStratification,0,3,MLP,105,1000,0.7656826568265682
Cora,ClassBasedStratification,0,3,MLP,106,1000,0.7822878228782287
Cora,ClassBasedStratification,0,3,MLP,107,1000,0.7693726937269373
Cora,ClassBasedStratification,0,3,MLP,108,1000,0.7546125461254612
Cora,ClassBasedStratification,0,3,MLP,109,1000,0.7619926199261993
Cora,ClassBasedStratification,0,3,GCN,100,1000,0.8782287822878229
Cora,ClassBasedStratification,0,3,GCN,101,1000,0.8763837638376384
Cora,ClassBasedStratification,0,3,GCN,102,1000,0.8800738007380073
Cora,ClassBasedStratification,0,3,GCN,103,1000,0.8745387453874539
Cora,ClassBasedStratification,0,3,GCN,104,1000,0.8763837638376384
Cora,ClassBasedStratification,0,3,GCN,105,1000,0.8653136531365314
