Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Stopped_Epoch,Best_Epoch,Best_Val_Loss,Best_Val_Accuracy,Test_Loss,Test_Accuracy,Stopped_Early,Early_Stopping_Patience
Cora,SklearnCategorical_PropLabelCluster_k19,0,1,MLP,100,123,23,0.7824809551239014,0.7509225010871887,0.8291182518005371,0.7306272983551025,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,1,GCN,100,119,19,0.36782318353652954,0.8782287836074829,0.3352203369140625,0.8819188475608826,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,1,GAT,100,118,18,0.3881981372833252,0.8708487153053284,0.33650824427604675,0.8763837814331055,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,1,GPRGNN,100,120,20,0.3743257522583008,0.8800737857818604,0.34044769406318665,0.8911439180374146,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,2,MLP,100,122,22,0.8574093580245972,0.7250922322273254,0.7856748700141907,0.7564575672149658,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,1,SAGE,100,113,13,0.4035748243331909,0.8782287836074829,0.31305477023124695,0.9003689885139465,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,1,H2GCN,100,239,139,0.3865889608860016,0.8856088519096375,0.3774360716342926,0.8616236448287964,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,2,GCN,100,128,28,0.29456281661987305,0.8985239863395691,0.37581297755241394,0.8726937174797058,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,2,GAT,100,161,61,0.3090897798538208,0.8985239863395691,0.36612191796302795,0.8856088519096375,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,2,GPRGNN,100,135,35,0.2904067635536194,0.8892989158630371,0.36359676718711853,0.8911439180374146,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,2,SAGE,100,122,22,0.33010125160217285,0.8966789841651917,0.4244372248649597,0.8800737857818604,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,3,MLP,100,125,25,0.7072440385818481,0.7744916677474976,0.8520164489746094,0.7250922322273254,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,2,H2GCN,100,303,203,0.36725926399230957,0.8892989158630371,0.3707389235496521,0.8819188475608826,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,1,MixHop,100,119,19,0.4123328626155853,0.8800737857818604,0.37760818004608154,0.8892989158630371,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,3,GCN,100,221,121,0.3544697165489197,0.8835489749908447,0.3556619882583618,0.8948339223861694,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,3,GAT,100,309,209,0.34948259592056274,0.8946395516395569,0.3549817204475403,0.8892989158630371,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,3,SAGE,100,146,46,0.3621368706226349,0.8983364105224609,0.3912564814090729,0.8819188475608826,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,3,GPRGNN,100,167,67,0.34046414494514465,0.8909426927566528,0.332871675491333,0.8819188475608826,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,4,MLP,100,122,22,0.8428074717521667,0.7171903848648071,0.7501562237739563,0.7744916677474976,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,2,MixHop,100,151,51,0.3307967185974121,0.8985239863395691,0.4000844359397888,0.8782287836074829,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,3,H2GCN,100,277,177,0.35782375931739807,0.9038817286491394,0.38602566719055176,0.892988920211792,True,100
Cora,SklearnCategorical_PropLabelCluster_k19,0,4,GCN,100,143,43,0.3676108121871948,0.8761552572250366,0.3405648469924927,0.8853974342346191,True,100
