Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Stopped_Epoch,Best_Epoch,Best_Val_Loss,Best_Val_Accuracy,Test_Loss,Test_Accuracy,Stopped_Early,Early_Stopping_Patience
PubMed,RandomKFold,0,1,MLP,100,165,65,0.3333740830421448,0.8709431886672974,0.33060717582702637,0.8691683411598206,True,100
PubMed,RandomKFold,0,1,GCN,100,538,438,0.35658133029937744,0.8788032531738281,0.35638850927352905,0.8694218993186951,True,100
PubMed,RandomKFold,0,1,GAT,100,438,338,0.38727447390556335,0.860547661781311,0.39387446641921997,0.8529411554336548,True,100
PubMed,RandomKFold,0,1,GPRGNN,100,898,798,0.33447688817977905,0.8820993900299072,0.3240331709384918,0.8747464418411255,True,100
PubMed,RandomKFold,0,2,MLP,100,166,66,0.32798072695732117,0.8818158507347107,0.3302117884159088,0.8729715943336487,True,100
PubMed,RandomKFold,0,1,SAGE,100,562,462,0.3076668679714203,0.8826065063476562,0.3123725950717926,0.8788032531738281,True,100
PubMed,RandomKFold,0,2,GCN,100,814,714,0.35371890664100647,0.8744610548019409,0.3541228473186493,0.8800709843635559,True,100
PubMed,RandomKFold,0,2,GAT,100,577,477,0.38310521841049194,0.8615267276763916,0.38531985878944397,0.8640973567962646,True,100
PubMed,RandomKFold,0,1,H2GCN,100,696,596,0.29989710450172424,0.8962981700897217,0.297921746969223,0.8937626481056213,True,100
PubMed,RandomKFold,0,2,GPRGNN,100,663,563,0.332683265209198,0.8802942037582397,0.338859885931015,0.8775355219841003,True,100
PubMed,RandomKFold,0,2,SAGE,100,546,446,0.30465167760849,0.883844792842865,0.3051457703113556,0.8874239325523376,True,100
PubMed,RandomKFold,0,3,MLP,100,171,71,0.3168826401233673,0.8795333504676819,0.3351103365421295,0.8754755258560181,True,100
PubMed,RandomKFold,0,3,GCN,100,672,572,0.3419579267501831,0.8739538192749023,0.35778555274009705,0.8764899969100952,True,100
PubMed,RandomKFold,0,3,GAT,100,536,436,0.3817548453807831,0.8594978451728821,0.3858324885368347,0.8607659339904785,True,100
PubMed,RandomKFold,0,2,H2GCN,100,821,721,0.30284368991851807,0.891453206539154,0.30062922835350037,0.8957910537719727,True,100
PubMed,RandomKFold,0,1,MixHop,100,731,631,0.2785632312297821,0.9008620977401733,0.26938873529434204,0.8985801339149475,True,100
PubMed,RandomKFold,0,3,GPRGNN,100,791,691,0.31034424901008606,0.8856200575828552,0.3327317237854004,0.878772497177124,True,100
PubMed,RandomKFold,0,3,SAGE,100,713,613,0.2917940616607666,0.889677882194519,0.3095005452632904,0.8813086748123169,True,100
PubMed,RandomKFold,0,4,MLP,100,167,67,0.33027464151382446,0.8808014392852783,0.3112056255340576,0.8825767040252686,True,100
PubMed,RandomKFold,0,4,GCN,100,598,498,0.35029083490371704,0.8790261149406433,0.34450092911720276,0.8724321722984314,True,100
PubMed,RandomKFold,0,4,GAT,100,435,335,0.3855816721916199,0.8671062588691711,0.3825366795063019,0.8594978451728821,True,100
PubMed,RandomKFold,0,3,H2GCN,100,683,583,0.28382301330566406,0.8975399732589722,0.3068270683288574,0.889677882194519,True,100
PubMed,RandomKFold,0,4,SAGE,100,816,716,0.2990323603153229,0.888917088508606,0.296012818813324,0.8886634707450867,True,100
PubMed,RandomKFold,0,2,MixHop,100,963,863,0.27600789070129395,0.8967791199684143,0.27654698491096497,0.8973124027252197,True,100
PubMed,RandomKFold,0,4,GPRGNN,100,869,769,0.31958574056625366,0.8856200575828552,0.311784565448761,0.8813086748123169,True,100
PubMed,RandomKFold,0,5,MLP,100,166,66,0.325965017080307,0.875,0.32337671518325806,0.8802942037582397,True,100
PubMed,RandomKFold,0,3,MixHop,100,690,590,0.25689902901649475,0.9018513560295105,0.28086668252944946,0.8927212953567505,True,100
