Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Stopped_Epoch,Best_Epoch,Best_Val_Loss,Best_Val_Accuracy,Test_Loss,Test_Accuracy,Stopped_Early,Early_Stopping_Patience
Cora,SklearnCategorical_NeighCount_k2,0,1,MLP,101,123,23,0.7711119055747986,0.7435424327850342,0.8147093653678894,0.7287822961807251,True,100
Cora,SklearnCategorical_NeighCount_k2,0,1,GCN,101,117,17,0.36897021532058716,0.8911439180374146,0.379064679145813,0.8874538540840149,True,100
Cora,SklearnCategorical_NeighCount_k2,0,1,GAT,101,126,26,0.34583279490470886,0.8948339223861694,0.37091636657714844,0.8819188475608826,True,100
Cora,SklearnCategorical_NeighCount_k2,0,1,SAGE,101,112,12,0.33042553067207336,0.8985239863395691,0.39321205019950867,0.88376384973526,True,100
Cora,SklearnCategorical_NeighCount_k2,0,1,GPRGNN,101,119,19,0.35879528522491455,0.8985239863395691,0.39188051223754883,0.8819188475608826,True,100
Cora,SklearnCategorical_NeighCount_k2,0,1,H2GCN,101,465,365,0.35688236355781555,0.9059040546417236,0.40931421518325806,0.8671586513519287,True,100
Cora,SklearnCategorical_NeighCount_k2,0,2,MLP,101,123,23,0.7917404174804688,0.7601476311683655,0.7760387659072876,0.7380073666572571,True,100
Cora,SklearnCategorical_NeighCount_k2,0,1,MixHop,101,117,17,0.3795764446258545,0.9022140502929688,0.4388706088066101,0.8708487153053284,True,100
Cora,SklearnCategorical_NeighCount_k2,0,2,GCN,101,177,77,0.3763904273509979,0.8708487153053284,0.42811790108680725,0.8745387196540833,True,100
Cora,SklearnCategorical_NeighCount_k2,0,2,GAT,101,132,32,0.36112308502197266,0.8726937174797058,0.35054031014442444,0.8856088519096375,True,100
Cora,SklearnCategorical_NeighCount_k2,0,2,SAGE,101,121,21,0.4189893305301666,0.8819188475608826,0.3554195165634155,0.9003689885139465,True,100
Cora,SklearnCategorical_NeighCount_k2,0,2,GPRGNN,101,186,86,0.35929927229881287,0.8782287836074829,0.39145490527153015,0.88376384973526,True,100
Cora,SklearnCategorical_NeighCount_k2,0,2,H2GCN,101,221,121,0.3981175124645233,0.8892989158630371,0.36266860365867615,0.8985239863395691,True,100
Cora,SklearnCategorical_NeighCount_k2,0,3,MLP,101,122,22,0.7885786294937134,0.7227357029914856,0.802763044834137,0.7435424327850342,True,100
Cora,SklearnCategorical_NeighCount_k2,0,3,GCN,101,117,17,0.3942645788192749,0.8798521161079407,0.40146738290786743,0.8782287836074829,True,100
Cora,SklearnCategorical_NeighCount_k2,0,3,GAT,101,136,36,0.3889552652835846,0.8706099987030029,0.37636440992355347,0.8745387196540833,True,100
Cora,SklearnCategorical_NeighCount_k2,0,2,MixHop,101,147,47,0.3741421699523926,0.8690037131309509,0.424313485622406,0.8763837814331055,True,100
Cora,SklearnCategorical_NeighCount_k2,0,3,SAGE,101,112,12,0.4120587706565857,0.8613678216934204,0.4327283203601837,0.8726937174797058,True,100
Cora,SklearnCategorical_NeighCount_k2,0,3,GPRGNN,101,115,15,0.4165515601634979,0.8669131398200989,0.41840076446533203,0.8671586513519287,True,100
Cora,SklearnCategorical_NeighCount_k2,0,3,H2GCN,101,269,169,0.41124123334884644,0.874306857585907,0.39910170435905457,0.8819188475608826,True,100
Cora,SklearnCategorical_NeighCount_k2,0,4,MLP,101,122,22,0.8090695142745972,0.7319778203964233,0.8101526498794556,0.7412199378013611,True,100
