Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Stopped_Epoch,Best_Epoch,Best_Val_Loss,Best_Val_Accuracy,Test_Loss,Test_Accuracy,Stopped_Early,Early_Stopping_Patience
syn-cora-h0.00-r1,RandomKFold,0,1,GCN,100,110,10,1.5116405487060547,0.29194632172584534,1.4763027429580688,0.3724832236766815,True,100
syn-cora-h0.00-r1,RandomKFold,0,2,GCN,100,110,10,1.4725793600082397,0.39261746406555176,1.5240801572799683,0.3221476376056671,True,100
syn-cora-h0.00-r1,RandomKFold,0,1,GCN,101,111,11,1.5060640573501587,0.30536913871765137,1.458085060119629,0.37919461727142334,True,100
syn-cora-h0.00-r1,RandomKFold,0,2,GCN,101,109,9,1.4636900424957275,0.37919461727142334,1.516332983970642,0.3322147727012634,True,100
syn-cora-h0.00-r1,RandomKFold,0,3,GCN,100,108,8,1.5199553966522217,0.3221476376056671,1.487377405166626,0.39261746406555176,True,100
syn-cora-h0.00-r1,RandomKFold,0,3,GCN,101,108,8,1.5057750940322876,0.3221476376056671,1.481358528137207,0.4026845693588257,True,100
syn-cora-h0.00-r1,RandomKFold,0,4,GCN,100,111,11,1.4330607652664185,0.3691275119781494,1.5298421382904053,0.3154362440109253,True,100
syn-cora-h0.00-r1,RandomKFold,0,4,GCN,101,113,13,1.4410607814788818,0.38255032896995544,1.5429210662841797,0.3187919557094574,True,100
syn-cora-h0.00-r1,RandomKFold,0,5,GCN,100,109,9,1.4938937425613403,0.33557048439979553,1.4586403369903564,0.34228187799453735,True,100
syn-cora-h0.00-r1,RandomKFold,0,5,GCN,101,112,12,1.473374366760254,0.34899330139160156,1.45705246925354,0.3557046949863434,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,2,GCN,100,110,10,1.4790312051773071,0.34228187799453735,1.4402694702148438,0.4026845693588257,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,2,GCN,101,110,10,1.4661438465118408,0.33892616629600525,1.4430158138275146,0.4093959629535675,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,1,GCN,100,111,11,1.4579700231552124,0.3523489832878113,1.4587321281433105,0.38590604066848755,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,1,GCN,101,112,12,1.4591662883758545,0.3691275119781494,1.4682310819625854,0.3724832236766815,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,4,GCN,100,107,7,1.5262770652770996,0.3087248206138611,1.4835596084594727,0.4093959629535675,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,3,GCN,101,110,10,1.4569777250289917,0.38255032896995544,1.4664855003356934,0.33557048439979553,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,3,GCN,100,112,12,1.4763619899749756,0.37919461727142334,1.4829524755477905,0.34563758969306946,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,4,GCN,101,108,8,1.5214155912399292,0.3288590610027313,1.4567456245422363,0.42281877994537354,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,5,GCN,100,110,10,1.4529857635498047,0.3590604066848755,1.547979474067688,0.2651006579399109,True,100
syn-cora-h0.00-r1,LabelStratifiedKFold,0,5,GCN,101,112,12,1.4671869277954102,0.3724832236766815,1.5655707120895386,0.3087248206138611,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,2,GCN,100,108,8,1.5121980905532837,0.34228187799453735,1.4874603748321533,0.34899330139160156,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,1,GCN,100,111,11,1.4586377143859863,0.3758389353752136,1.470322847366333,0.3758389353752136,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,2,GCN,101,109,9,1.4958983659744263,0.3523489832878113,1.4647266864776611,0.3624161183834076,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,1,GCN,101,111,11,1.4417290687561035,0.4060402810573578,1.478383183479309,0.39261746406555176,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,3,GCN,100,110,10,1.4467015266418457,0.3523489832878113,1.4839000701904297,0.3724832236766815,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,3,GCN,101,111,11,1.4711334705352783,0.3557046949863434,1.4789228439331055,0.3590604066848755,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,4,GCN,100,111,11,1.4508886337280273,0.37919461727142334,1.4680813550949097,0.3657718002796173,True,100
syn-cora-h0.00-r1,StratifiedKFoldDynamic_Degree_b300,0,4,GCN,101,113,13,1.4273418188095093,0.4026845693588257,1.4872994422912598,0.3724832236766815,True,100
